04202305000077AINPHO                                            AGRUPACIÓN INDEPENDIENTE DE POZOHONDO                                                                                                                 000077000077000077
04202305000078SOMOS SOCOVOS-POR MI REGION                       SOMOS SOCOVOS-POR MI REGION                                                                                                                           000078000078000078
04202305000079UNIDAS-PODEMOS-IZQUIERDA UNIDA                    UNIDAS IZQUIERDA UNIDA                                                                                                                                000369000369000369
04202305000080P.C.D.T.                                          PLATAFORMA CIUDADANA DE TOBARRA                                                                                                                       000080000080000080
04202305000081SPV                                               SE PUEDE VILLARROBLEDO (SE PUEDE VILLARROBLEDO-PODEMOS-VERDES EQUO)                                                                                   000081000081000081
04202305000082AIV                                               AGRUPACÓN INDEPENDIENTE DE VIVEROS                                                                                                                    000082000082000082
04202305000083IAF                                               INICIATIVA PER L'ATZUVIA I FORNA                                                                                                                      000083000083000083
04202305000086P.C.P.E.                                          PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA                                                                                                            000086000086003410
04202305000088ALIANZA C V                                       ALIANZA POR EL COMERCIO Y LA VIVIENDA                                                                                                                 000088000088000088
04202305000089DECIDIX                                           DECIDIX                                                                                                                                               000089000089000089
04202305000091ERPV                                              ESQUERRA REPUBLICANA DEL PAÍS VALENCIÀ                                                                                                                005783005783005783
04202305000092CENTRO MODERADO                                   LOS VERDES-ECOPACIFISTAS                                                                                                                              000092000092000092
04202305000095ACORD PER GUANYAR                                 AIA-COMPROMÍS PER AGOST:ACORD PER GUANYAR                                                                                                             006063006063006063
04202305000096FP                                                FEM POBLE                                                                                                                                             000096000096000096
04202305000097ACORD PER GUANYAR                                 SOM AGRES:ACORD PER GUANYAR                                                                                                                           006063006063006063
04202305000098AV                                                AIGÜES VIU                                                                                                                                            000098000098000098
04202305000099EUPV - PODEM: UNIDAS                              ALBATERA UNIDA - IZQUIERDA UNIDA - UNIDAS PODEMOS                                                                                                     000369000369000369
04202305000100ACORD PER GUANYAR                                 COMPROMÍS PER ALCALALI: ACORD PER GUANYAR                                                                                                             006063006063006063
04202305000101DECIDIX                                           ALCALALI DECIDIX                                                                                                                                      000089000089000089
04202305000102ACORD PER GUANYAR                                 COMPROMIS PER ALCOLEJA:ACORD PER GUANYAR                                                                                                              006063006063006063
04202305000103ACORD PER GUANYAR                                 COMPROMIS PER ALCOI: ACORD PER GUANYAR                                                                                                                006063006063006063
04202305000104PODEM                                             PODEM                                                                                                                                                 000193000193000193
042023050001053E                                                TERCERA EDAD EN ACCIÓN                                                                                                                                000105000105000105
04202305000106EUPV: ENDAVANT                                    GUANYAR ALCOI ESQUERRA UNIDA: ENDAVANT                                                                                                                000158000158000158
04202305000107ADIN                                              ACCION DEMOCRATICA INDEPENDIENTE                                                                                                                      000107000107000107
04202305000108ACORD PER GUANYAR                                 AVANT ALFAFARA: ACORD PER GUANYAR                                                                                                                     006063006063006063
04202305000109GXA                                               GENT PER ALFAFARA                                                                                                                                     000109000109000109
04202305000110PODEM-EUPV:UNIDAS                                 UNIDES PODEM-ESQUERRA UNIDA                                                                                                                           000369000369000369
04202305000111ACORD PER GUANYAR                                 COMPROMÍS PER ALACANT: ACORD PER GUANYAR                                                                                                              006063006063006063
04202305000112EUPV - PODEM: UNIDAS                              ESQUERRA UNIDA - UNIDES PODEM                                                                                                                         000369000369000369
04202305000113FE DE LAS JONS                                    FALANGE ESPAÑOLA DE LAS J.O.N.S.                                                                                                                      000113000113000113
04202305000114A.G.                                              ALICANTE GANA                                                                                                                                         000114000114000114
04202305000115A.R.AL.                                           ALTERNATIVA REGIONAL ALICANTINA                                                                                                                       000115000115000115
04202305000116EUPV:ADELANTE                                     ESQUERRA UNIDA: ADELANTE                                                                                                                              000158000158000158
04202305000117ACORD PER GUANYAR                                 COMPROMIS L'ALQUERIA D'ASNAR:ACORD PER GUANYAR                                                                                                        006063006063006063
04202305000118COMPROMÍS PER ALTEA: ACORD PER GUANYAR            COMPROMÍS PER ALTEA: ACORD PER GUANYAR                                                                                                                006063006063006063
04202305000119ACORD PER GUANYAR                                 COMPROMIS PER BALONES:ACORD PER GUANYAR                                                                                                               006063006063006063
