0820230510201300003005404NATIVIDAD                PÉREZ                    GARCÍA                   F00000000          053S
0820230510202800000603601ANGEL                    MELERO                   FERNANDEZ                M00000000          038S
0820230510202800000603601MIGUEL ANGEL             PEREZ                    ATENCIA                  M00000000          034N
0820230510202800000603601ROBERTO                  NOVA                     MARTINEZ                 M00000000          037N
0820230510202800003005904FLORENCIA                LOZANO                   ROMERO                   F00000000          057S
0820230510202800003005904LAURA                    LOZANO                   BARCOS                   F00000000          047S
0820230510202800003005904MARIA DEL CARMEN         LINARES                  BERMUDEZ                 F00000000          051S
0820230510202800003005904MARIA ISABEL             LOZANO                   CASTILLO                 F00000000          033N
0820230510202800003005904SILVIA MARIA             LOZANO                   ROMERO                   F00000000          050S
0820230510204700000608505AMPARO                   INIESTA                  CUERDA                   F00000000          070S
0820230510204700000608505INMACULADA               ESPARCIA                 MARTINEZ                 F00000000          067S
0820230510204700000608505NARCISO                  SANCHEZ                  ESCRIBANO                M00000000          072S
0820230510204700000608505NICASIO                  BELMONTE                 GALLEGO                  M00000000          061S
0820230510204700000608505PEDRO                    INIESTA                  CUERDA                   M00000000          073S
0820230510204700003002400ANTONIO                  TEVAR                    CARRASCO                 M00000000          024N
0820230510204700003002400EUSEBIO                  GIL                      GÓMEZ                    M00000000          026N
0820230510204700003002400ROSANA                   TEBAR                    SÁNCHEZ                  F00000000          024N
0820230510204700003002400SERGIO                   GIL                      PIQUERAS                 M00000000          024N
0820230510206600000610504ESTHER                   DE FEZ                   GONZALEZ                 F00000000          103S
0820230510206600000610504JOSE JAVIER              VALERO                   LOPEZ                    M00000000          107S
0820230510206600000610504JULIO                    HAYA                     MONTEAGUDO               M00000000          101S
0820230510206600000610504MARIA LLANOS             HAYA                     LOPEZ                    F00000000          109S
0820230510206600003006601ALEJANDRO                HUERTA                   PARDO                    M00000000          067N
0820230510206600003006601DOLORES                  TRUEBA                   COLLADO                  F00000000          062N
0820230510206600003006601ISABEL                   DEL REY                  JIMENEZ                  F00000000          071S
0820230510206600003006601PEDRO                    JIMENEZ                  SORIANO                  M00000000          064N
0820230510208200000603001EZEQUIEL                 LANCIS                   NIETO                    M00000000          031N
0820230510208200000603001FRANCISCO                MINGUEZ                  GARCIA                   M00000000          031N
0820230510208200000603001LAUREANO                 LANCIS                   SAEZ                     M00000000          035S
0820230510208200000603001MARIA JOSEFA             NIETO                    MURCIA                   F00000000          026N
0820230510208200003005004JOSÉ                     BELTRÁN                  TORRES                   M00000000          048S
0820230510208200003005004JOSÉ                     MATIES                   BELLIDO                  M00000000          046S
0820230510208200003005004LAURA                    MARANCHÓN                GANDÍA                   F00000000          052S
0820230510208200003005004MARÍA LLANOS             SÁNCHEZ                  COLLADO                  F00000000          054S
0820230510208300000608601CARLOS MIGUEL            CALERO                   JIMENEZ                  M00000000          083N
0820230510208300000608601LOURDES                  VICENTE                  GIL                      F00000000          090S
0820230510208300000608601SERGIO                   MORCILLO                 GIL                      M00000000          087N
0820230510208300000608601VICTOR MIGUEL            SERRANO                  MONEDERO                 M00000000          084N
0820230510208300003009104JOSE MARIA               ORTEGA                   RODRIGUEZ                M00000000          090S
0820230510208300003009104LUIS MIGUEL              GIL                      ROSELLO                  M00000000          093S
0820230510208300003009104MARIA DEL PILAR          LEAL                     SERRANO                  F00000000          096S
0820230510208300003009104ROMAN                    SALES                    VIZCAINO                 M00000000          087S
0820230510300800000601801ALBERTO                  HITA                     DIAZ DE MERA             M00000000          000N
0820230510300800000601801ANGEL                    VAÑO                     GUILL                    M00000000          000N
0820230510300800000601801JACINTO                  LLORET                   AZNAR                    M00000000          046S
0820230510300800000601801RAFAEL JOAQUIN           ARACIL                   MORENO                   M00000000          026N
0820230510300800003007704FRACISCO MIGUEL          FENOLLAR                 IVAÑEZ                   M00000000          082S
0820230510300800003007704GEMA                     BALDÓ                    CRESPO                   F00000000          082S
0820230510300800003007704RAFAEL LORETO            DEL RINCÓN               MARTÍNEZ                 M00000000          077S
0820230510300800003007704SILVIA                   ARACIL                   SERRA                    F00000000          068S
0820230510300800010200500CLARA                    UBEDA                    BADIA                    F00000000          004N
0820230510300800010200500GUSTAU                   PEREZ                    PEREZ                    M00000000          006N
0820230510300800010200500MARIA TERESA             FAUS                     BORONAT                  F00000000          006N
0820230510301600000605405ADRIAN                   SEGUI                    OLCINA                   M00000000          042S
0820230510301600000605405IGNACIO                  FERRI                    ALEMANY                  M00000000          043S
0820230510301600000605405ISMAEL                   CERDÁ                    SANCHEZ                  M00000000          037S
0820230510301600000605405MARIA AMPARO             CORTÉS                   ALCARÁZ                  F00000000          039S
0820230510301600000605405PAU                      NAVARRO                  GINER                    M00000000          056S
0820230510301600003001700FRANCISCO                ADRIÁN                   JURADO                   M00000000          020N
0820230510301600003001700JORDI                    SEMPERE                  SERRA                    M00000000          014N
0820230510301600003001700RAFAEL FRANCISCO         SEMPERE                  VERDÚ                    M00000000          017N
0820230510302000000601301DIEGO MIGUEL             SENDRA                   NAVALON                  M00000000          004N
0820230510302000000601301JOSE ANGEL               RIQUELME                 BOTELLA                  M00000000          001N
0820230510302000000601301VICENTE JOSE             MOYA                     GARCIA                   M00000000          035S
0820230510302000003006504FRANCISCO JAVIER         MOLINA                   AURA                     M00000000          066S
0820230510302000003006504JOSÉ RAÚL                LÓPEZ                    DOMENECH                 M00000000          060S
0820230510302000003006504JUAN TOMÁS               BOU                      PÉREZ                    M00000000          070S
0820230510302000003006504MARÍA CONSUELO           NADAL                    BERNABEU                 F00000000          064S
0820230510302000011900200CANDELA                  PERPINYÀ                 GARCIA                   F00000000          003N
0820230510302000011900200LONGINOS                 GIL                      PUERTOLAS                M00000000          003N
0820230510302000011900200RAFAEL                   ASENSIO                  CHENOVART                M00000000          002N
0820230510302200000607804IGNACIO                  PALMER                   GONZALEZ                 M00000000          076S
0820230510302200000607804LORENA                   CALDERÓN                 MORAL                    F00000000          085S
0820230510302200000607804MIGUEL ANGEL             BANGO                    MARTINEZ                 M00000000          072S
