042023051010490399La Mojonera                                                                                         001301302700008824000070000418700004185000000260000000000001708000023920000003100000022000028260130000000000000000S
042023051010490499Balanegra                                                                                           002902902700002886000030000196200001962000000350000000000000683000009420000000600000011000011570110000000000000000S
042023051011100199Alcalá de los Gazules                                                                               003103102400005227000070000436600004366000000200000000000001626000023340000002700000030000029200130000000000000000S
042023051011100299Alcalá del Valle                                                                                    000600602800004982000070000418600004187000000070000000000001568000024610000002300000048000036700110000000000000000S
042023051011100399Algar                                                                                               000600602800001433000020000119700001197000000040000000000000614000008140000000800000005000009860090000000000000000S
042023051011100499Algeciras                                                                                           000400401100122368001420009076100090760000001870000000000025152000348530000064000000517000425270270000000000000000S
042023051011100599Algodonales                                                                                         000600602800005504000080000452300004523000000240000000000001916000025340000005200000104000029180130000000000000000S
042023051011100699Arcos de la Frontera                                                                                000600602800030953000410002512300025140000000810000000000008262000118680000019400000202000148670210000000000000000S
042023051011100799Barbate                                                                                             001501502400022872000280001845800018458000001070000000000005899000086100000023000000219000102470210000000000000000S
042023051011100899Los Barrios                                                                                         000400401100024069000260001862400018638000000710000000000005989000083740000013200000209000101850210000000000000000S
042023051011100999Benaocaz                                                                                            000600602800000695000010000062100000621000000030000000000000274000003910000000300000005000004840070000000000000000S
042023051011101099Bornos                                                                                              000600602800007607000100000627700006277000000090000000000002147000030960000006700000083000037800130000000000000000S
042023051011101199El Bosque                                                                                           000600602800002209000020000178500001785000000060000000000000723000009710000000700000073000011440110000000000000000S
042023051011101299Cádiz                                                                                               001201201000113066001490009492600094938000002100000000000035288000488870000086200000724000569780270000000000000000S
042023051011101399Castellar de la Frontera                                                                            003303301100003043000040000238700002387000000370000000000000963000014310000001400000019000017720110000000000000000S
042023051011101499Conil de la Frontera                                                                                001501502400023497000290001823300018234000002710000000000006608000093440000013700000090000113360210000000000000000S
042023051011101599Chiclana de la Frontera                                                                             001501501000087493000990006853200068553000003460000000000019161000263260000058200000368000319530250000000000000000S
042023051011101699Chipiona                                                                                            003203202000019592000220001570700015707000000920000000000005033000072100000014500000139000088360170000000000000000S
042023051011101799Espera                                                                                              000600602800003820000050000317200003172000000010000000000001335000019270000002100000040000023950110000000000000000S
042023051011101899El Gastor                                                                                           000600602800001699000020000141100001412000000130000000000000644000009040000000800000028000010760090000000000000000S
042023051011101999Grazalema                                                                                           000600602800002005000030000174500001745000000070000000000000701000010630000002900000091000011910110000000000000000S
042023051011102099Jerez de la Frontera                                                                                002002001000212730002660016971100169720000003980000000000057202000762230000136800001069000931160270000000000000000S
042023051011102199Jimena de la Frontera                                                                               003303301100006681000070000496400004964000001270000000000002120000028940000003000000080000033890130000000000000000S
042023051011102299La Línea de la Concepción                                                                           003303301100063271000770004942500049429000002680000000000012810000184170000010700000126000228210250000000000000000S
